#doc=loveyourself.2.txt;;;;;;;;;;;;;;
1;Диана;ДИАНА;S f anim nom sg;;;а;н;а;и;д;;S;ДИАНА;S f anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;Эээ;Э;NONLEX;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
4;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
5;любовь;ЛЮБОВЬ;S f inan nom sg;;;ь;в;о;б;ю;л;S;ЛЮБОВЬ;S f inan nom sg
6;к;К;PR;;;к;;;;;;PR;К;PR
7;себе;СЕБЯ;SPRO - - - dat;;;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - loc
8;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
9;это;ЭТО;SPRO n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
10;то;ТО;SPRO N - nom sg;;;о;т;;;;;PART;ТО;PART
11;без;БЕЗ;PR;;;з;е;б;;;;PR;БЕЗ;PR
12;чего;ЧТО;APPRO n - gen sg;;;о;г;е;ч;;;S;ЧТО;S n - gen sg
13;в;В;PR;;;в;;;;;;PR;В;PR
14;наше;НАШ;APPRO - acc sg n inan;;;е;ш;а;н;;;A;НАШ;A - acc sg plen n inan
15;время;ВРЕМЯ;S n inan acc sg;;;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg
16;обойтись;ОБОЙТИСЬ;V pf - - inf - -;;;ь;с;и;т;й;о;V;ОБОЙТИСЬ;V pf - - inf - -
17;нельзя;НЕЛЬЗЯ;ADV -;;;я;з;ь;л;е;н;ADV;НЕЛЬЗЯ;ADV -
18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
19;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
20;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
21;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
22;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
23;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
24;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
25;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
26;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
27;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
28;потомушшшто;потому что ;S m inan nonflex nonflex;DISTORT, это не односложеное выражение, с разметкой я не согласна. Думаю, там  должно быть ZERO;;о;т;ш;ш;ш;у;S;ПОТОМУШШШТО;S m inan nonflex nonflex
29;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
30;quot;QUOT;NONLEX;;;;;;;;;NONLEX;QUOT;NONLEX
31;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
2;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
3;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
4;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
5;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
6;lt;LT;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
7;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;социальные;СОЦИАЛЬНЫЙ;A - nom pl plen - inan;;;е;ы;н;ь;л;а;A;СОЦИАЛЬНЫЙ;A - acc pl plen - inan
2;сети;СЕТЬ;S f inan nom pl;;;и;т;е;с;;;S;СЕТЬ;S f inan acc pl
3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
4;интернет;ИНТЕРНЕТ;S m inan nom sg;;;т;е;н;р;е;т;S;ИНТЕРНЕТ;S m inan nom sg
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;телевидение;ТЕЛЕВИДЕНИЕ;S n inan nom sg;;;е;и;н;е;д;и;S;ТЕЛЕВИДЕНИЕ;S n inan nom sg
7;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
8;они;ОНИ;SPRO pl - - nom;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
9;ээ;Э;NONLEX;;;э;э;;;;;NONLEX;ЭЭ;NONLEX
10;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
11;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
12;давят;ДАВИТЬ;V ipf praes pl indic - 3p;;;т;я;в;а;д;;V;ДАВИТЬ;V ipf praes pl indic - 3p
13;на;НА;PR;;;а;н;;;;;PR;НА;PR
14;нас;МЫ;SPRO pl 1p - acc;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
16;на;НА;PR;;;а;н;;;;;PR;НА;PR
17;нашу;НАШ;APPRO - acc sg  f 1p;;;у;ш;а;н;;;A;НАШ;A - acc sg plen f -
18;самооценку;САМООЦЕНКА;S f inan acc sg;;;у;к;н;е;ц;о;S;САМООЦЕНКА;S f inan acc sg
19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
20;потому что;потому что;ZERO;;;о;т;ч;;у;м;ZERO;потому что;ZERO
